45,Lois Lambert,Family medicine,(458)-194-5252
46,Max Cole,Internal medicine,(865)-073-7242
47,Marlene Sanders,Medical genetics,(125)-690-3592
48,Wallace Romero,Neurology,(738)-375-0192
49,Salvador Graham,Nuclear medicine,(018)-492-0842
50,Kristen Austin,Obstetrics and gynecology,(200)-976-1330
51,Peter Rose,Ophthalmology,(787)-220-6276
52,Katie Webb,Pathology,(523)-079-7231
53,Jackson Dunn,Pediatrics,(555)-596-0935
54,Mae Reid,Physical medicine and rehabilitation,(740)-648-9806
55,Erica Fernandez,Preventive medicine,(293)-804-5967
56,Jill Adams,Psychiatry,(409)-477-8635
57,Dustin Sims,Radiation oncology,(420)-197-9801
58,Juan Watkins,Surgery,(815)-839-0719
59,Robert Fuller,Urology,(060)-387-2830
60,Elaine Chapman,Allergy and immunology,(608)-757-3928
61,Marion Carr,Anesthesiology,(097)-212-6327
62,Deanna Wilson,Dermatology,(869)-601-0704
63,Norman Lewis,Diagnostic radiology,(809)-540-2846
64,Philip Armstrong,Emergency medicine,(146)-599-4336
65,Shawn Brewer,Family medicine,(301)-936-2731
66,Herbert Jimenez,Internal medicine,(086)-138-3277
67,Gordon Daniels,Medical genetics,(150)-283-1801
68,Julia Ward,Neurology,(748)-392-2956
69,Taylor Gibson,Nuclear medicine,(278)-084-7234
70,Bill Carpenter,Obstetrics and gynecology,(053)-359-7933
71,Daryl Fuller,Ophthalmology,(807)-036-0409
72,Beverly George,Pathology,(356)-793-9493
73,Eddie Campbell,Pediatrics,(759)-953-5148
74,Leon Dean,Physical medicine and rehabilitation,(785)-882-3669
75,Frank Ortiz,Preventive medicine,(741)-637-7975
76,Lori Meyer,Psychiatry,(011)-157-5638
77,Hector Carroll,Radiation oncology,(731)-330-5410
78,Carl Ford,Surgery,(309)-157-8659
79,Alice Rhodes,Urology,(688)-557-7047
80,Isaiah Cooper,Allergy and immunology,(480)-178-1210
81,Alfredo Graves,Anesthesiology,(722)-636-5335
82,Zack Ross,Dermatology,(244)-614-3184
83,Marjorie Little,Diagnostic radiology,(223)-838-2370
84,Daniel Hopkins,Emergency medicine,(460)-765-0871
85,Celina Gomez,Family medicine,(870)-479-5448
86,Sylvia Stanley,Internal medicine,(623)-068-2755
87,Heather Gilbert,Medical genetics,(145)-322-8351
88,Russell Holmes,Neurology,(917)-564-9912
89,Theresa Lane,Nuclear medicine,(360)-258-9848
90,Colleen Mills,Obstetrics and gynecology,(331)-132-6016
91,Victoria Robertson,Ophthalmology,(670)-382-0685
92,Lena Howard,Pathology,(927)-043-1647
93,Terrence Price,Pediatrics,(738)-523-1385
94,Ted Holmes,Physical medicine and rehabilitation,(419)-259-4018
95,Jean Scott,Preventive medicine,(248)-692-1177
96,Kirk Morales,Psychiatry,(561)-465-4309
97,Rene Hart,Radiation oncology,(565)-390-0398
98,Layla Harris,Surgery,(164)-405-7969
99,Katherine Oliver,Urology,(818)-911-2726
100,Marion Banks,Allergy and immunology,(462)-524-0350
101,Kay Silva,Anesthesiology,(054)-259-4609
102,Travis Howard,Dermatology,(189)-685-7919
103,Joseph George,Diagnostic radiology,(588)-389-7063
104,Vera Gomez,Emergency medicine,(566)-167-0613
105,Brett Hall,Family medicine,(875)-422-5083
106,Kirk Newman,Internal medicine,(642)-689-8347
107,Jennifer Perry,Medical genetics,(310)-606-9744
108,Aubree Parker,Neurology,(285)-590-5598
109,Ruben Lucas,Nuclear medicine,(035)-848-6546
110,Benjamin Ferguson,Obstetrics and gynecology,(652)-401-9000
111,Wendy Richards,Ophthalmology,(717)-728-2478
112,Pauline Richardson,Pathology,(602)-782-4488
113,Freddie Herrera,Pediatrics,(915)-221-7420
114,Luis Thompson,Physical medicine and rehabilitation,(133)-303-0795
115,Rita Morgan,Preventive medicine,(917)-102-7195
116,Ricardo Ward,Psychiatry,(354)-241-4776
117,Greg Frazier,Radiation oncology,(701)-938-6543
118,Antonio Gonzalez,Surgery,(951)-093-3403
119,Aubrey Thompson,Urology,(422)-001-1093
120,Sharlene Dixon,Allergy and immunology,(839)-893-8863
121,Evelyn Bradley,Anesthesiology,(989)-451-5536
122,Chloe Hansen,Dermatology,(752)-544-4508
123,Gavin Clark,Diagnostic radiology,(418)-832-5864
124,Colleen Brewer,Emergency medicine,(683)-422-5730
125,Christine Silva,Family medicine,(718)-009-2849
126,Beatrice Rodriguez,Internal medicine,(026)-700-8772
127,Clifton Dean,Medical genetics,(851)-341-7792
128,Zoe Kim,Neurology,(092)-638-2330
129,Katrina Weaver,Nuclear medicine,(464)-009-5857
130,Mildred Bradley,Obstetrics and gynecology,(486)-941-9248
131,Lance Harrison,Ophthalmology,(153)-393-0031
132,Eli Clark,Pathology,(304)-619-9660
133,Ronnie Ray,Pediatrics,(269)-106-9165
134,Diane Morris,Physical medicine and rehabilitation,(543)-740-1594
135,Janet Cruz,Preventive medicine,(428)-305-7734
136,Lucille Harris,Psychiatry,(188)-175-3067
137,Cassandra Hanson,Radiation oncology,(642)-500-9780
138,Phyllis Chavez,Surgery,(977)-524-1089
139,Joseph Wagner,Urology,(663)-077-5867
140,Edgar Rivera,Allergy and immunology,(812)-928-6208
141,Judd Terry,Anesthesiology,(385)-673-5847
142,Eric Thomas,Dermatology,(016)-789-8577
143,Connie Jennings,Diagnostic radiology,(689)-117-7568
144,Tyrone Clark,Emergency medicine,(355)-273-5429
145,Ricardo Watson,Family medicine,(546)-192-0557
146,Laurie Richardson,Internal medicine,(769)-189-4737
147,Richard Douglas,Medical genetics,(605)-447-4560
148,Camila Hansen,Neurology,(007)-958-1913
149,Wanda Smith,Nuclear medicine,(496)-227-9295
150,Billy Lopez,Obstetrics and gynecology,(715)-701-6671
151,Terrence Lopez,Ophthalmology,(973)-466-9279
152,Arthur Morrison,Pathology,(680)-947-1071
153,Robin Gray,Pediatrics,(092)-683-3948
154,Fernando Morales,Physical medicine and rehabilitation,(818)-741-0494
155,Denise Oliver,Preventive medicine,(264)-035-3849
156,Lena Daniels,Psychiatry,(279)-754-2494
157,Nelson Ray,Radiation oncology,(635)-350-9171
158,Jordan Barnett,Surgery,(508)-686-4588
159,Brooklyn Ross,Urology,(555)-104-0015
160,Bryan Rice,Allergy and immunology,(292)-978-8352
161,Andrew Fox,Anesthesiology,(078)-205-5417
162,Rebecca Nguyen,Dermatology,(049)-433-6195
163,Priscilla Obrien,Diagnostic radiology,(412)-768-2408
164,Kelly Gilbert,Emergency medicine,(744)-751-2070
165,Leon Patterson,Family medicine,(626)-900-5736
166,Jackie Castillo,Internal medicine,(126)-313-2979
167,Michael Hansen,Medical genetics,(454)-596-6397
168,Edna Lynch,Neurology,(572)-858-6460
169,Ellen West,Nuclear medicine,(188)-516-3899
170,Carrie Bradley,Obstetrics and gynecology,(647)-709-5464
171,Clara Bowman,Ophthalmology,(954)-730-0937
172,Ted Lee,Pathology,(444)-265-2181
173,Peggy Walters,Pediatrics,(703)-383-9362
174,Violet Payne,Physical medicine and rehabilitation,(894)-543-6752
175,Addison Olson,Preventive medicine,(870)-637-5728
176,Paula Carr,Psychiatry,(717)-061-8069
177,Elsie Welch,Radiation oncology,(234)-649-9783
178,Phyllis Nichols,Surgery,(911)-683-3347
179,Same Herrera,Urology,(635)-104-6992
180,Joel George,Allergy and immunology,(635)-247-9912
181,Randy Rice,Anesthesiology,(342)-821-5988
182,Luis Ellis,Dermatology,(636)-487-8786
183,Jeanette Harper,Diagnostic radiology,(298)-801-4057
184,Gina Fields,Emergency medicine,(323)-587-9265
185,Becky Castillo,Family medicine,(255)-307-7058
186,Jim Ellis,Internal medicine,(123)-624-2075
187,Joe Crawford,Medical genetics,(883)-677-5631
188,Renee Mitchelle,Neurology,(088)-403-4061
189,Genesis Davis,Nuclear medicine,(992)-283-6012
190,Esther Woods,Obstetrics and gynecology,(971)-445-9179
191,Frank Simpson,Ophthalmology,(072)-078-4223
192,Olivia Mckinney,Pathology,(391)-700-0184
193,Jeffrey Lowe,Pediatrics,(259)-456-7618
194,Edith Hale,Physical medicine and rehabilitation,(757)-216-3280
195,Charles Steeves ,Preventive medicine,(750)-143-8347
196,Rose Wood,Psychiatry,(754)-936-7909
197,Hunter Bradley,Radiation oncology,(409)-603-9346
198,Don Torres,Surgery,(739)-976-8642
199,Seth Shelton,Urology,(184)-807-0435
200,Theodore Garcia,Allergy and immunology,(943)-725-8138
201,Diane Butler,Anesthesiology,(806)-767-5225
202,Doris Mcdonalid,Dermatology,(269)-103-1230
203,John Castro,Diagnostic radiology,(593)-811-5746
204,Tom Morales,Emergency medicine,(380)-642-7602
205,Bill Payne,Family medicine,(976)-464-8842
206,Mae Day,Internal medicine,(420)-824-4389
207,Mark Bryant,Medical genetics,(358)-816-1549
208,Phillip Prescott,Neurology,(695)-613-0430
209,Gerald Kim,Nuclear medicine,(649)-309-1209
210,Edward Vasquez,Obstetrics and gynecology,(553)-693-5617
211,Toni Harris,Ophthalmology,(685)-148-9394
212,Janice Prescott,Pathology,(672)-845-3973
213,Don Mcdonalid,Pediatrics,(301)-753-6775
214,Todd Marshall,Physical medicine and rehabilitation,(575)-876-3102
215,Alexander Long,Preventive medicine,(959)-057-6505
216,Franklin Smith,Psychiatry,(160)-364-3053
217,Sally Morrison,Radiation oncology,(166)-248-9848
218,Cecil Peck,Surgery,(286)-451-0579
219,Leon Romero,Urology,(859)-129-1287
220,Ann Howell,Allergy and immunology,(986)-432-8369
221,Ramona Morgan,Anesthesiology,(624)-961-6554
222,Marion Kuhn,Dermatology,(386)-216-5169
223,Brett Taylor,Diagnostic radiology,(246)-168-4593
224,Derrick Bradley,Emergency medicine,(423)-735-0439
225,Stephen Knight,Family medicine,(695)-194-5464
226,Earl Anderson,Internal medicine,(955)-434-9898
227,Marian Patterson,Medical genetics,(220)-944-4384
228,Bobbie Russell,Neurology,(281)-584-0096
229,Doris Murphy,Nuclear medicine,(158)-791-8490
230,Claude Jensen,Obstetrics and gynecology,(674)-959-6571
231,Gwendolyn Rogers,Ophthalmology,(966)-625-3302
232,Jayden Gilbert,Pathology,(156)-848-9671
233,Soham Kim,Pediatrics,(565)-607-9957
234,Beverly Thompson,Physical medicine and rehabilitation,(819)-126-6447
235,David Lewis,Preventive medicine,(051)-354-5208
236,Catherine Watkins,Psychiatry,(456)-877-6277
237,Mathew Thompson,Radiation oncology,(745)-715-1913
238,Mary Harvey,Surgery,(497)-065-7668
239,Owen Bowman,Urology,(306)-652-0509
240,Alvin Price,Allergy and immunology,(924)-447-1862
241,Edwin Sanchez,Anesthesiology,(093)-666-4404
242,Kristina Gilbert,Dermatology,(468)-401-2705
243,Harvey Ward,Diagnostic radiology,(510)-868-0073
244,Anthony Stephens,Emergency medicine,(444)-127-0634
245,Jeffrey Hopkins,Family medicine,(334)-075-8556
246,Clifton James,Internal medicine,(400)-545-8267
247,Jorge Dunn,Medical genetics,(018)-381-9779
248,Sophie Byrd,Neurology,(197)-391-1207
249,Lloyd King,Nuclear medicine,(882)-959-6611
250,Katherine Hudson,Obstetrics and gynecology,(042)-305-6730
251,Eli Smith,Ophthalmology,(562)-179-6671
252,Wyatt Sims,Pathology,(619)-403-9083
253,Rita Sullivan,Pediatrics,(911)-698-1814
254,Ruben Harrison,Physical medicine and rehabilitation,(642)-280-2800
255,Terry Martinez,Preventive medicine,(462)-369-0915
256,Marcia Peterson,Psychiatry,(747)-912-5645
257,Bobby Hansen,Radiation oncology,(889)-050-2402
258,Jeffery Mcdonalid,Surgery,(658)-328-6923
259,Gertrude Anderson,Urology,(576)-914-8132
260,Christy Soto,Allergy and immunology,(946)-830-4193
261,Wesley Bishop,Anesthesiology,(181)-183-0454
262,Joshua Martin,Dermatology,(048)-847-2836
263,Ritthy Diaz,Diagnostic radiology,(053)-538-7545
264,Dan Ramos,Emergency medicine,(928)-053-5047
265,Roland Morgan,Family medicine,(805)-542-2772
266,Laurie Byrd,Internal medicine,(699)-942-4227
267,Alyssa Hernandez,Medical genetics,(106)-306-5788
268,Nicholas Day,Neurology,(997)-613-0080
269,Marjorie Mason,Nuclear medicine,(500)-985-8526
270,Dave George,Obstetrics and gynecology,(721)-108-1379
271,Philip Fields,Ophthalmology,(495)-178-2885
272,Brianna Sims,Pathology,(088)-751-3340
273,Lucy Dean,Pediatrics,(949)-516-3808
274,Billy Sims,Physical medicine and rehabilitation,(279)-510-2409
275,Lynn Simmmons,Preventive medicine,(111)-848-2320
276,Luis Graham,Psychiatry,(421)-346-6559
277,Theodore Robertson,Radiation oncology,(950)-380-9804
278,Charlene Palmer,Surgery,(688)-013-4064
279,Joyce Fuller,Urology,(731)-650-3608
280,Soham Kim,Allergy and immunology,(907)-208-3711
281,Bertha Reyes,Anesthesiology,(802)-633-5846
282,Loretta Bates,Dermatology,(980)-456-5899
283,Kurt Steeves ,Diagnostic radiology,(030)-800-2562
284,Isaiah Clark,Emergency medicine,(257)-437-3489
285,Tanya Barnes,Family medicine,(825)-747-7873
286,Martin Gardner,Internal medicine,(961)-196-4110
287,Maurice Ramirez,Medical genetics,(541)-482-2773
288,Delores Fernandez,Neurology,(123)-675-5344
289,Roland Moore,Nuclear medicine,(376)-367-5775
290,Juan Rhodes,Obstetrics and gynecology,(617)-758-1495
291,Linda Gregory,Ophthalmology,(872)-150-9591
292,Avery Reynolds,Pathology,(329)-983-4885
293,Gregory Nguyen,Pediatrics,(165)-462-9118
294,Gwendolyn Hunter,Physical medicine and rehabilitation,(083)-297-7289
295,Gladys Chavez,Preventive medicine,(463)-888-5373
296,Landon Murphy,Psychiatry,(788)-075-2070
297,Gordon Hudson,Radiation oncology,(698)-026-3848
298,Sergio Gray,Surgery,(429)-743-0551
299,Marion Burns,Urology,(755)-102-3713
